TF	TARGET
AT1G01720	AT1G01010
AT1G01720	AT1G01030
AT1G01720	AT1G01070
AT1G01720	AT1G01240
AT1G01720	AT1G01290
AT1G01720	AT1G01320
AT1G01720	AT1G01725
AT1G01720	AT1G01750
AT1G01720	AT1G01770
AT1G01720	AT1G01780
AT1G01720	AT1G01790
AT1G01720	AT1G02220
AT1G01720	AT1G02470
AT1G01720	AT1G02475
AT1G01720	AT1G02560
AT1G01720	AT1G02820
AT1G01720	AT1G02850
AT1G01720	AT1G02910
AT1G01720	AT1G03055
AT1G01720	AT1G03170
AT1G01720	AT1G03190
AT1G01720	AT1G03220
AT1G01720	AT1G03250
AT1G01720	AT1G03400
AT1G01720	AT1G03470
AT1G01720	AT1G03495
AT1G01720	AT1G03520
AT1G01720	AT1G03590
AT1G01720	AT1G03610
AT1G01720	AT1G03660
AT1G01720	AT1G03820
AT1G01720	AT1G04040
AT1G01720	AT1G04250
AT1G01720	AT1G04290
AT1G01720	AT1G04420
AT1G01720	AT1G04550
AT1G01720	AT1G04710
AT1G01720	AT1G04780
AT1G01720	AT1G04990
AT1G01720	AT1G05100
AT1G01720	AT1G05200
AT1G01720	AT1G05210
AT1G01720	AT1G05280
AT1G01720	AT1G05350
AT1G01720	AT1G05560
AT1G01720	AT1G05570
AT1G01720	AT1G05590
AT1G01720	AT1G05600
AT1G01720	AT1G05680
AT1G01720	AT1G05960
AT1G01720	AT1G06040
AT1G01720	AT1G06110
AT1G01720	AT1G06160
AT1G01720	AT1G06520
AT1G01720	AT1G06640
AT1G01720	AT1G06650
AT1G01720	AT1G06830
AT1G01720	AT1G07000
AT1G01720	AT1G07010
AT1G01720	AT1G07040
AT1G01720	AT1G07090
AT1G01720	AT1G07180
AT1G01720	AT1G07260
AT1G01720	AT1G07300
AT1G01720	AT1G07390
AT1G01720	AT1G07630
AT1G01720	AT1G07640
AT1G01720	AT1G07750
AT1G01720	AT1G07790
AT1G01720	AT1G08020
AT1G01720	AT1G08050
AT1G01720	AT1G08230
AT1G01720	AT1G08250
AT1G01720	AT1G08280
AT1G01720	AT1G08430
AT1G01720	AT1G08450
AT1G01720	AT1G08460
AT1G01720	AT1G08470
AT1G01720	AT1G08590
AT1G01720	AT1G08610
AT1G01720	AT1G08930
AT1G01720	AT1G09080
AT1G01720	AT1G09090
AT1G01720	AT1G09130
AT1G01720	AT1G09200
AT1G01720	AT1G09240
AT1G01720	AT1G09340
AT1G01720	AT1G09390
AT1G01720	AT1G09420
AT1G01720	AT1G09460
AT1G01720	AT1G09500
AT1G01720	AT1G09510
AT1G01720	AT1G09550
AT1G01720	AT1G09780
AT1G01720	AT1G10060
AT1G01720	AT1G10070
AT1G01720	AT1G10210
AT1G01720	AT1G10410
AT1G01720	AT1G10540
AT1G01720	AT1G10580
AT1G01720	AT1G10585
AT1G01720	AT1G10830
AT1G01720	AT1G10960
AT1G01720	AT1G11050
AT1G01720	AT1G11170
AT1G01720	AT1G11210
AT1G01720	AT1G11240
AT1G01720	AT1G11260
AT1G01720	AT1G11280
AT1G01720	AT1G11310
AT1G01720	AT1G11330
AT1G01720	AT1G11360
AT1G01720	AT1G11440
AT1G01720	AT1G11530
AT1G01720	AT1G11580
AT1G01720	AT1G11670
AT1G01720	AT1G11700
AT1G01720	AT1G11720
AT1G01720	AT1G11750
AT1G01720	AT1G11840
AT1G01720	AT1G11860
AT1G01720	AT1G11930
AT1G01720	AT1G12020
AT1G01720	AT1G12080
AT1G01720	AT1G12250
AT1G01720	AT1G12290
AT1G01720	AT1G12320
AT1G01720	AT1G12430
AT1G01720	AT1G12520
AT1G01720	AT1G12550
AT1G01720	AT1G12640
AT1G01720	AT1G12730
AT1G01720	AT1G12780
AT1G01720	AT1G12800
AT1G01720	AT1G13080
AT1G01720	AT1G13090
AT1G01720	AT1G13210
AT1G01720	AT1G13560
AT1G01720	AT1G13930
AT1G01720	AT1G13990
AT1G01720	AT1G14150
AT1G01720	AT1G14250
AT1G01720	AT1G14270
AT1G01720	AT1G14280
AT1G01720	AT1G14330
AT1G01720	AT1G14345
AT1G01720	AT1G14687
AT1G01720	AT1G14720
AT1G01720	AT1G14740
AT1G01720	AT1G14780
AT1G01720	AT1G14790
AT1G01720	AT1G14810
AT1G01720	AT1G14920
AT1G01720	AT1G15110
AT1G01720	AT1G15140
AT1G01720	AT1G15210
AT1G01720	AT1G15260
AT1G01720	AT1G15410
AT1G01720	AT1G15430
AT1G01720	AT1G15490
AT1G01720	AT1G15520
AT1G01720	AT1G15550
AT1G01720	AT1G15790
AT1G01720	AT1G15860
AT1G01720	AT1G15980
AT1G01720	AT1G16080
AT1G01720	AT1G16220
AT1G01720	AT1G16260
AT1G01720	AT1G16310
AT1G01720	AT1G16390
AT1G01720	AT1G16530
AT1G01720	AT1G16540
AT1G01720	AT1G16880
AT1G01720	AT1G17020
AT1G01720	AT1G17090
AT1G01720	AT1G17100
AT1G01720	AT1G17180
AT1G01720	AT1G17190
AT1G01720	AT1G17240
AT1G01720	AT1G17360
AT1G01720	AT1G17380
AT1G01720	AT1G17455
AT1G01720	AT1G17710
AT1G01720	AT1G17745
AT1G01720	AT1G17760
AT1G01720	AT1G17960
AT1G01720	AT1G18040
AT1G01720	AT1G18060
AT1G01720	AT1G18400
AT1G01720	AT1G18440
AT1G01720	AT1G18580
AT1G01720	AT1G18590
AT1G01720	AT1G18810
AT1G01720	AT1G18970
AT1G01720	AT1G18980
AT1G01720	AT1G19020
AT1G01720	AT1G19050
AT1G01720	AT1G19140
AT1G01720	AT1G19200
AT1G01720	AT1G19230
AT1G01720	AT1G19250
AT1G01720	AT1G19270
AT1G01720	AT1G19330
AT1G01720	AT1G19340
AT1G01720	AT1G19380
AT1G01720	AT1G19450
AT1G01720	AT1G19500
AT1G01720	AT1G19640
AT1G01720	AT1G19670
AT1G01720	AT1G19850
AT1G01720	AT1G19960
AT1G01720	AT1G20020
AT1G01720	AT1G20050
AT1G01720	AT1G20350
AT1G01720	AT1G20440
AT1G01720	AT1G20510
AT1G01720	AT1G20560
AT1G01720	AT1G20630
AT1G01720	AT1G20670
AT1G01720	AT1G20810
AT1G01720	AT1G20870
AT1G01720	AT1G20880
AT1G01720	AT1G21070
AT1G01720	AT1G21130
AT1G01720	AT1G21140
AT1G01720	AT1G21170
AT1G01720	AT1G21250
AT1G01720	AT1G21270
AT1G01720	AT1G21310
AT1G01720	AT1G21350
AT1G01720	AT1G21390
AT1G01720	AT1G21450
AT1G01720	AT1G21590
AT1G01720	AT1G21670
AT1G01720	AT1G21680
AT1G01720	AT1G21770
AT1G01720	AT1G22170
AT1G01720	AT1G22335
AT1G01720	AT1G22360
AT1G01720	AT1G22380
AT1G01720	AT1G22400
AT1G01720	AT1G22480
AT1G01720	AT1G22630
AT1G01720	AT1G22640
AT1G01720	AT1G22870
AT1G01720	AT1G22900
AT1G01720	AT1G23040
AT1G01720	AT1G23060
AT1G01720	AT1G23190
AT1G01720	AT1G23205
AT1G01720	AT1G23310
AT1G01720	AT1G23360
AT1G01720	AT1G23630
AT1G01720	AT1G23730
AT1G01720	AT1G23740
AT1G01720	AT1G23800
AT1G01720	AT1G23850
AT1G01720	AT1G24280
AT1G01720	AT1G24330
AT1G01720	AT1G24440
AT1G01720	AT1G24490
AT1G01720	AT1G24530
AT1G01720	AT1G24600
AT1G01720	AT1G24625
AT1G01720	AT1G25250
AT1G01720	AT1G25290
AT1G01720	AT1G25330
AT1G01720	AT1G25370
AT1G01720	AT1G25390
AT1G01720	AT1G25520
AT1G01720	AT1G25530
AT1G01720	AT1G26220
AT1G01720	AT1G26230
AT1G01720	AT1G26240
AT1G01720	AT1G26410
AT1G01720	AT1G26420
AT1G01720	AT1G26620
AT1G01720	AT1G26770
AT1G01720	AT1G26840
AT1G01720	AT1G26920
AT1G01720	AT1G26930
AT1G01720	AT1G27130
AT1G01720	AT1G27150
AT1G01720	AT1G27320
AT1G01720	AT1G27385
AT1G01720	AT1G27480
AT1G01720	AT1G27520
AT1G01720	AT1G27700
AT1G01720	AT1G27740
AT1G01720	AT1G27760
AT1G01720	AT1G27960
AT1G01720	AT1G28010
AT1G01720	AT1G28130
AT1G01720	AT1G28210
AT1G01720	AT1G28330
AT1G01720	AT1G28390
AT1G01720	AT1G28430
AT1G01720	AT1G28520
AT1G01720	AT1G28580
AT1G01720	AT1G28610
AT1G01720	AT1G28960
AT1G01720	AT1G29050
AT1G01720	AT1G29130
AT1G01720	AT1G29195
AT1G01720	AT1G29270
AT1G01720	AT1G29395
AT1G01720	AT1G29440
AT1G01720	AT1G29510
AT1G01720	AT1G29530
AT1G01720	AT1G29760
AT1G01720	AT1G29950
AT1G01720	AT1G29970
AT1G01720	AT1G30135
AT1G01720	AT1G30220
AT1G01720	AT1G30360
AT1G01720	AT1G30440
AT1G01720	AT1G30500
AT1G01720	AT1G30510
AT1G01720	AT1G30530
AT1G01720	AT1G30700
AT1G01720	AT1G30810
AT1G01720	AT1G30860
AT1G01720	AT1G30870
AT1G01720	AT1G30960
AT1G01720	AT1G31120
AT1G01720	AT1G31180
AT1G01720	AT1G31190
AT1G01720	AT1G31200
AT1G01720	AT1G31260
AT1G01720	AT1G31340
AT1G01720	AT1G31380
AT1G01720	AT1G31460
AT1G01720	AT1G31480
AT1G01720	AT1G31690
AT1G01720	AT1G31730
AT1G01720	AT1G31800
AT1G01720	AT1G31820
AT1G01720	AT1G31920
AT1G01720	AT1G32080
AT1G01720	AT1G32090
AT1G01720	AT1G32120
AT1G01720	AT1G32130
AT1G01720	AT1G32170
AT1G01720	AT1G32220
AT1G01720	AT1G32230
AT1G01720	AT1G32470
AT1G01720	AT1G32500
AT1G01720	AT1G32540
AT1G01720	AT1G32550
AT1G01720	AT1G32700
AT1G01720	AT1G32840
AT1G01720	AT1G32860
AT1G01720	AT1G32900
AT1G01720	AT1G32930
AT1G01720	AT1G32940
AT1G01720	AT1G33110
AT1G01720	AT1G33260
AT1G01720	AT1G33490
AT1G01720	AT1G33890
AT1G01720	AT1G33940
AT1G01720	AT1G33990
AT1G01720	AT1G34150
AT1G01720	AT1G34210
AT1G01720	AT1G34260
AT1G01720	AT1G34370
AT1G01720	AT1G34510
AT1G01720	AT1G34630
AT1G01720	AT1G35140
AT1G01720	AT1G35230
AT1G01720	AT1G35260
AT1G01720	AT1G35350
AT1G01720	AT1G35560
AT1G01720	AT1G35670
AT1G01720	AT1G35910
AT1G01720	AT1G36380
AT1G01720	AT1G36990
AT1G01720	AT1G37140
AT1G01720	AT1G42365
AT1G01720	AT1G42470
AT1G01720	AT1G42970
AT1G01720	AT1G43000
AT1G01720	AT1G43130
AT1G01720	AT1G43160
AT1G01720	AT1G43560
AT1G01720	AT1G43590
AT1G01720	AT1G43670
AT1G01720	AT1G43690
AT1G01720	AT1G43710
AT1G01720	AT1G43770
AT1G01720	AT1G43900
AT1G01720	AT1G44350
AT1G01720	AT1G44575
AT1G01720	AT1G44800
AT1G01720	AT1G45150
AT1G01720	AT1G45180
AT1G01720	AT1G47128
AT1G01720	AT1G47270
AT1G01720	AT1G47340
AT1G01720	AT1G47400
AT1G01720	AT1G47900
AT1G01720	AT1G47960
AT1G01720	AT1G48030
AT1G01720	AT1G48260
AT1G01720	AT1G48280
AT1G01720	AT1G48370
AT1G01720	AT1G48480
AT1G01720	AT1G48520
AT1G01720	AT1G48550
AT1G01720	AT1G48600
AT1G01720	AT1G48780
AT1G01720	AT1G49050
AT1G01720	AT1G49160
AT1G01720	AT1G49230
AT1G01720	AT1G49240
AT1G01720	AT1G49310
AT1G01720	AT1G49320
AT1G01720	AT1G49470
AT1G01720	AT1G49650
AT1G01720	AT1G49740
AT1G01720	AT1G49750
AT1G01720	AT1G49860
AT1G01720	AT1G50090
AT1G01720	AT1G50140
AT1G01720	AT1G50250
