FileId,Accepted,QCNotes
E-AFMX-9_103,N,Corrupt/Missing CEL
E-AFMX-9_104,N,Corrupt/Missing CEL
E-AFMX-9_105,N,Corrupt/Missing CEL
E-AFMX-9_106,N,Corrupt/Missing CEL
E-AFMX-9_107,N,Corrupt/Missing CEL
E-AFMX-9_108,N,Corrupt/Missing CEL
E-AFMX-9_109,N,Corrupt/Missing CEL
E-AFMX-9_110,N,Corrupt/Missing CEL
E-AFMX-9_111,N,Corrupt/Missing CEL
E-AFMX-9_112,N,Corrupt/Missing CEL
E-AFMX-9_113,N,Corrupt/Missing CEL
E-AFMX-9_114,N,Corrupt/Missing CEL
E-AFMX-9_115,N,Corrupt/Missing CEL
E-AFMX-9_116,N,Corrupt/Missing CEL
E-AFMX-9_117,N,Corrupt/Missing CEL
E-AFMX-9_118,N,Corrupt/Missing CEL
E-AFMX-9_119,N,Corrupt/Missing CEL
E-AFMX-9_120,N,Corrupt/Missing CEL
E-AFMX-9_121,N,Corrupt/Missing CEL
E-AFMX-9_122,N,Corrupt/Missing CEL
E-AFMX-9_123,N,Corrupt/Missing CEL
E-ATMX-31_4,Y,NA
E-ATMX-31_5,Y,NA
E-ATMX-31_6,Y,NA
E-ATMX-5_1,Y,NA
E-ATMX-5_2,Y,NA
E-MEXP-1876_1,Y,NA
E-MEXP-1876_2,Y,NA
E-MEXP-1876_3,Y,NA
E-MEXP-1876_4,Y,NA
E-MEXP-1876_5,Y,NA
E-MEXP-1876_6,Y,NA
E-MEXP-2140_1,Y,NA
E-MEXP-2140_10,Y,NA
E-MEXP-2140_11,Y,NA
E-MEXP-2140_12,Y,NA
E-MEXP-2140_2,Y,NA
E-MEXP-2140_3,Y,NA
E-MEXP-2140_4,Y,NA
E-MEXP-2140_5,Y,NA
E-MEXP-2140_6,Y,NA
E-MEXP-2140_7,Y,NA
E-MEXP-2140_8,Y,NA
E-MEXP-2140_9,Y,NA
E-MEXP-2208_1,Y,NA
E-MEXP-2208_2,Y,NA
E-MEXP-2208_3,Y,NA
E-MEXP-2208_4,Y,NA
E-MEXP-2208_5,Y,NA
E-MEXP-2208_6,Y,NA
E-MEXP-2483_5,Y,NA
E-MEXP-2483_6,Y,NA
E-MEXP-2483_7,Y,NA
E-MEXP-2483_8,Y,NA
E-MEXP-254_1,Y,NA
E-MEXP-254_10,Y,NA
E-MEXP-254_11,Y,NA
E-MEXP-254_12,Y,NA
E-MEXP-254_2,Y,NA
E-MEXP-254_3,Y,NA
E-MEXP-254_4,Y,NA
E-MEXP-254_5,Y,NA
E-MEXP-254_6,Y,NA
E-MEXP-254_7,Y,NA
E-MEXP-254_8,Y,NA
E-MEXP-254_9,Y,NA
E-MEXP-2601_1,Y,NA
E-MEXP-2601_10,Y,NA
E-MEXP-2601_11,Y,NA
E-MEXP-2601_12,Y,NA
E-MEXP-2601_2,Y,NA
E-MEXP-2601_3,Y,NA
E-MEXP-2601_4,Y,NA
E-MEXP-2601_5,Y,NA
E-MEXP-2601_6,Y,NA
E-MEXP-2601_7,Y,NA
E-MEXP-2601_8,Y,NA
E-MEXP-2601_9,Y,NA
E-MEXP-2608_1,Y,NA
E-MEXP-2608_10,N,Automatic QC Rejection
E-MEXP-2608_11,N,Automatic QC Rejection
E-MEXP-2608_12,N,Manual Rejection
E-MEXP-2608_13,Y,NA
E-MEXP-2608_14,Y,NA
E-MEXP-2608_15,Y,NA
E-MEXP-2608_16,Y,NA
E-MEXP-2608_17,Y,NA
E-MEXP-2608_18,Y,NA
E-MEXP-2608_2,Y,NA
E-MEXP-2608_3,Y,NA
E-MEXP-2608_4,Y,NA
E-MEXP-2608_5,Y,NA
E-MEXP-2608_6,Y,NA
E-MEXP-2608_7,N,Manual Rejection
E-MEXP-2608_8,Y,NA
E-MEXP-2608_9,N,Manual Rejection
E-MEXP-2912_1,Y,NA
E-MEXP-2912_10,Y,NA
E-MEXP-2912_11,Y,NA
E-MEXP-2912_12,Y,NA
E-MEXP-2912_13,Y,NA
E-MEXP-2912_14,Y,NA
E-MEXP-2912_15,Y,NA
E-MEXP-2912_16,Y,NA
E-MEXP-2912_17,Y,NA
E-MEXP-2912_18,Y,Manual Acceptance
E-MEXP-2912_19,Y,NA
E-MEXP-2912_2,N,Automatic QC Rejection
E-MEXP-2912_20,Y,NA
E-MEXP-2912_21,Y,NA
E-MEXP-2912_22,Y,NA
