PROBE	ID	ALIAS
244901_at	ATMG00640	ORF25
244902_at	ATMG00650	NAD4L
244903_at	ATMG00660	ArthMp059
244904_at	ATMG00670	ArthMp060
244905_at	ATMG00680	ArthMp061
244906_at	ATMG00690	ORF240A
244907_at	ATMG00710	ArthMp063
244908_at	ATMG00720	ArthMp064
244909_at	ATMG00740	ArthMp066
244910_s_at	ATMG00750	ArthMp067
244911_at	ATMG00820	ArthMp071
244912_at	AT2G07783	ccb382
244913_at	ATMG00840	ArthMp073
244914_at	ATMG00850	ArthMp074
244915_s_at	ATMG00860	ArthMp075
244916_at	ATMG00880	ORF187
244917_at	ATMG00870	ArthMp076
244918_at	ATMG00890	ArthMp078
244919_at	AT2G07768;ATMG00960	CCB203
244920_s_at	AT2G07751	AT2G07751
244921_s_at	ATMG01000;AT2G07674	ArthMp087
244922_s_at	AT2G07674;ATMG01010	AT2G07674;ATMG01010
244923_s_at	AT2G07674;ATMG01020	ArthMp089
244924_at	ATMG01040	ArthMp091
244925_at	ATMG00510	nad7
244926_s_at	ATMG00520;AT2G07712	matR
244927_at	AT2G07776;ATMG00530	AT2G07776;ATMG00530
244928_s_at	AT2G07716	orfX
244929_at	ATMG00580	nad4
244930_at	ATMG00600	ArthMp053
244931_at	ATMG00630	ArthMp056
244932_at	ATCG01060	psaC
244933_at	ATCG01070	ndhE
244934_at	ATCG01080	ndhG
244935_at	ATCG01090	ndhI
244936_at	ATCG01100	ndhA
244937_at	ATCG01110	ndhH
244938_at	ATCG01120	rps15
244939_at	ATCG00065	rps12
244940_at	ATCG00905;ATCG01230	rps12
244941_at	ATMG00010	ArthMp002
244942_at	ATMG00050	ArthMp005
244943_at	ATMG00070	NAD9
244944_s_at	ATMG00080;ATMG00090	ATMG00080;ATMG00090
244945_at	ATMG00110	ccb206
244946_at	orf143	orf143
244947_at	ATMG00130	ArthMp012
244948_at	ATMG00140	ArthMp013
244949_at	ATMG00150	ArthMp013
244950_at	ATMG00160	cox2
244951_s_at	AT2G07723	ccb452
244952_at	ATMG00260	ArthMp023
244953_s_at	AT2G07731	nad6
244954_s_at	AT2G07732;ATMG00280	AT2G07732;ATMG00280
244955_at	ATMG00320	ArthMp030
244956_s_at	ATMG00310	ArthMp029
244957_at	ATMG00400	ArthMp034
244958_at	ATMG00450	ArthMp038
244959_s_at	AT2G07708;ATMG00490	AT2G07708;ATMG00490
244960_at	ATCG01020	rpl32
244961_at	ATCG01040	ccsA
244962_at	ATCG01050	ndhD
244963_at	ATCG00570	psbF
244964_at	ATCG00580	psbE
244965_at	ATCG00590	petL
244966_at	ATCG00600	petG
244967_at	ATCG00630	psaJ
244968_at	ATCG00640	rpl33
244969_at	ATCG00650	rps18
244970_at	ATCG00660	rpl20
244971_at	ATCG00670	clpP
244972_at	ATCG00680	psbB
244973_at	ATCG00690	psbT
244974_at	ATCG00700	psbN
244975_at	ATCG00710	psbH
244976_at	ATCG00720	petB
244977_at	ATCG00730	petD
244978_at	ATCG00740	rpoA
244979_at	ATCG00750	rps11
244980_at	ATCG00760	rpl36
244981_at	ATCG00770	rps8
244982_at	ATCG00780	rpl14
244983_at	ATCG00790	rpl16
244984_at	ATCG00800	rps3
244985_at	ATCG00810	rpl22
244986_at	ATCG00820	rps19
244987_s_at	ATCG00830;ATCG01310	rpl2
244988_s_at	ATCG00840;ATCG01300	rpl23
244989_s_at	ATCG00860;ATCG01280	ycf2
244990_s_at	orf77.1	orf77.1
244991_s_at	ATCG00890	ndhB
244992_s_at	ATCG00900;ATCG01240	rps7
244993_s_at	ATCG01000;ATCG01130	ycf1
244994_at	ATCG01010	ndhF
244995_at	ATCG00150	atpI
244996_at	ATCG00160	rps2
244997_at	ATCG00170	rpoC2
244998_at	ATCG00180	rpoC1
244999_at	ATCG00190	rpoB
245000_at	ATCG00210	petN
245001_at	ATCG00220	psbM
245002_at	ATCG00270	psbD
245003_at	ATCG00280	psbC
245004_at	ATCG00300	psbZ
245005_at	ATCG00330	rps14
245006_at	ATCG00340	psaB
245007_at	ATCG00350	psaA
245008_at	ATCG00360	ycf3
245009_at	ATCG00380	rps4
245010_at	ATCG00420	ndhJ
245011_at	ATCG00430	ndhK
245012_at	ATCG00440	ndhC
245013_at	ATCG00470	atpE
245014_at	ATCG00480	atpB
245015_at	ATCG00490	rbcL
245016_at	ATCG00500	accD
245017_at	ATCG00510	psaI
245018_at	ATCG00520	ycf4
245019_at	ATCG00530	cemA
245020_at	ATCG00540	petA
245021_at	ATCG00550	psbJ
245022_at	ATCG00560	psbL
245023_at	ATCG00080	psbI
245024_at	ATCG00120	atpA
245025_at	ATCG00130	atpF
245026_at	ATCG00140	atpH
245027_at	AT2G26550	HO2
245028_at	AT2G26570	AT2G26570
245029_at	AT2G26580	YAB5
245030_at	AT2G26620	AT2G26620
245031_at	AT2G26360	AT2G26360
245032_at	AT2G26630	AT2G26630
245033_at	AT2G26380	AT2G26380
245034_at	AT2G26390	AT2G26390
245035_at	AT2G26400	ATARD3
245036_at	AT2G26410	Iqd4
245037_at	AT2G26420	PIP5K3
245038_at	AT2G26560	PLA2A
245039_at	AT2G26600	AT2G26600
245040_at	AT2G26520	AT2G26520
245041_at	AT2G26530	AR781
245042_at	AT2G26540	HEMD
245043_at	AT2G26430	RCY1
245044_at	AT2G26500	AT2G26500
245045_at	AT2G26590	RPN13
245046_at	AT2G26510	PDE135
245047_at	ATCG00020	psbA
245048_at	ATCG00040	matK
245049_at	ATCG00050	rps16
245050_at	ATCG00070	psbK
245051_at	AT2G23320	WRKY15
245052_at	AT2G26440	AT2G26440
245053_at	AT2G26450	AT2G26450
245054_at	AT2G26460	SMU2
245055_at	AT2G26470	AT2G26470
245056_at	AT2G26480	UGT76D1
245057_at	AT2G26490	AT2G26490
245058_at	AT2G39790	AT2G39790
245059_at	AT2G39720	RHC2A
245060_at	AT2G39770	CYT1
245061_at	AT2G39730	RCA
245062_at	AT2G39760	BPM3
245063_at	AT2G39795	AT2G39795
245064_at	AT2G39725	AT2G39725
245065_at	AT2G39750	AT2G39750
245066_at	AT2G39840	TOPP4
245067_at	AT2G39780	RNS2
245068_at	AT2G23260	UGT84B1
245069_at	AT2G23250	UGT84B2
245070_at	AT2G23240	AT2G23240
245071_at	AT2G23230	AT2G23230
245072_s_at	AT2G23220	CYP81D7
245073_at	AT2G23210	AT2G23210
245074_at	AT2G23200	AT2G23200
245075_at	AT2G23180	CYP96A1
245076_at	AT2G23170	GH3.3
245077_at	AT2G23160	AT2G23160
245078_at	AT2G23340	DEAR3
245079_at	AT2G23330	AT2G23330
245080_at	AT2G23300	AT2G23300
245081_at	AT2G23280	AT2G23280
245082_at	AT2G23270	AT2G23270
245083_at	AT2G23310	ATRER1C1
245084_at	AT2G23290	AtMYB70
245085_at	AT2G23350	PAB4
245086_at	AT2G39820	AT2G39820
245087_at	AT2G39830	DAR2
245088_at	AT2G39850	AT2G39850
245089_at	AT2G45290	AT2G45290
245090_at	AT2G40900	AT2G40900
245091_at	AT2G40910	AT2G40910
245092_at	AT2G40950	BZIP17
245093_at	AT2G40820	AT2G40815
245094_at	AT2G40840	DPE2
245095_at	AT2G40870	AT2G40860
245096_at	AT2G40880	ATCYSA
245097_at	AT2G40935	AT2G40935
245098_at	AT2G40940	ERS1
245099_at	AT2G40830	RHC1A
245100_at	AT2G40930	UBP5
245101_at	AT2G40890	CYP98A3
245102_at	AT2G41580	AT2G41580
245103_at	AT2G41590	AT2G41590
245104_at	AT2G41600	AT2G41600
245105_at	AT2G41610	AT2G41610
245106_at	AT2G41650	AT2G41650
245107_at	AT2G41690	AT-HSFB3
245108_at	AT2G41510	CKX1
245109_at	AT2G41520	AT2G41520
245110_at	AT2G41550	AT2G41550
245111_at	AT2G41570	AT2G41570
245112_at	AT2G41540	GPDHC1
245113_at	AT2G41660	MIZ1
245114_at	AT2G41630	TFIIB
245115_at	AT2G41530	SFGH
245116_at	AT2G41620	AT2G41620
245117_at	AT2G41560	ACA4
245118_at	AT2G41680	NTRC
245119_at	AT2G41640	AT2G41640
245120_at	AT2G39810	HOS1
245121_at	AT2G47610	AT2G47610
245122_at	AT2G47420	AT2G47420
245123_at	AT2G47450	CAO
245124_at	AT2G47580	U1A
245125_at	AT2G47430	CKI1
245126_at	AT2G47460	MYB12
245127_at	AT2G47600	ATMHX
245128_at	AT2G45380	AT2G45380
245129_at	AT2G45350	CRR4
245130_at	AT2G45340	AT2G45340
245131_s_at	AT2G45330	emb1067
245132_at	AT2G45320	AT2G45320
245133_at	AT2G45310	GAE4
245134_s_at	AT2G45250	AT2G45250
245135_at	AT2G45230	AT2G45230
245136_at	AT2G45210	AT2G45210
245137_at	AT2G45460	AT2G45460
245138_at	AT2G45190	AFO
245139_at	AT2G45430	AHL22
245140_at	AT2G45420	LBD18
245141_at	AT2G45400	BEN1
245142_at	AT2G45270	GCP1
245143_at	AT2G45450	ZPR1
245144_at	AT2G45240	MAP1A
245145_at	AT2G45440	DHDPS2
245146_at	AT2G45200	GOS12
245147_at	AT2G45280	ATRAD51C
245148_at	AT2G45220	AT2G45220
245149_at	AT2G47620	ATSWI3A
245150_at	AT2G47590	PHR2
245151_at	AT2G47550	AT2G47550
245152_at	AT2G47490	NDT1
245153_at	AT5G12450	AT5G12450
245154_at	AT5G12460	AT5G12460
245155_at	AT5G12470	AT5G12470
245156_at	AT5G12480	CPK7
245157_at	AT2G33160	AT2G33160
245158_at	AT2G33130	RALFL18
245159_at	AT2G33100	ATCSLD1
245160_at	AT2G33080	AtRLP28
245161_at	AT2G33070	NSP2
245162_at	AT2G33240	XID
245163_at	AT2G33230	YUC7
245164_at	AT2G33210	HSP60-2
245165_at	AT2G33180	AT2G33180
245166_at	AT2G33170	AT2G33170
245167_s_at	AT2G33120	ATVAMP723
245168_at	AT2G33150	PKT3
245169_at	AT2G33220	AT2G33220
245170_at	AT2G47570	AT2G47570
245171_at	AT2G47560	AT2G47560
245172_at	AT2G47540	AT2G47540
245173_at	AT2G47520	HRE2
245174_at	AT2G47500	AT2G47500
245175_at	AT2G47470	UNE5
245176_at	AT2G47440	AT2G47440
245177_at	AT5G12380	ANNAT8
245178_at	AT5G12390	FIS1B
245179_at	AT5G12400	AT5G12400
245180_at	AT5G12410	AT5G12410
245181_at	AT5G12420	AT5G12420
245182_at	AT5G12430	AT5G12430
245183_at	AT5G12440	AT5G12440
245184_at	AT1G67790	AT1G67790
245185_at	AT1G67760	AT1G67760
245186_at	AT1G67710	ARR11
245187_s_at	AT1G67680	AT1G67680
245188_at	AT1G67660	AT1G67660
245189_at	AT1G67670	AT1G67670
