PROBE	ID
266013_s_at	ATMG00440;AT2G07702;ATMG01140
259770_s_at	AT1G07780;AT1G29410;AT5G05590
245638_s_at	AT1G24822;AT1G25097;AT1G24996
260027_at	AT1G29952;AT1G29950;AT1G29951
259779_s_at	AT1G32720;AT1G29620;AT3G43780
257343_s_at	AT1G34967;AT1G34904;AT5G17125
259601_s_at	AT2G12210;AT2G11060;AT1G35280
256318_s_at	AT2G14470;AT5G34960;AT1G35940
265743_s_at	AT1G39110;AT3G42720;AT2G06720
246353_s_at	AT4G08010;AT1G39190;AT3G42721
261389_s_at	AT1G41835;AT1G35735;AT1G35050
261358_s_at	AT2G06541;AT3G29450;AT1G41920
262082_s_at	AT1G56140;AT1G56130;AT1G56120
249457_s_at	AT1G66040;AT1G66050;AT5G39550
262979_s_at	AT1G13370;AT1G75600;AT1G75610
265563_s_at	AT2G12120;AT5G28482;AT2G05470
265514_s_at	AT3G15602;AT2G06130;AT2G07780
244959_s_at	AT2G07708;ATMG00500;ATMG00490
266014_s_at	AT2G07722;ATMG00620;ATMG00170
265981_s_at	AT4G19280;AT2G11166;AT5G36060
266152_s_at	AT3G31908;AT3G32377;AT2G12050
257379_x_at	AT2G12150;AT1G45070;AT5G28487
266148_x_at	AT1G36460;AT2G12240;AT3G29730
265757_x_at	AT4G02314;AT2G13160;AT2G34130
265604_s_at	AT3G35707;AT3G33225;AT2G14350
265490_s_at	AT2G15450;AT2G15470;AT2G15460
265606_s_at	AT3G09510;AT2G31520;AT2G25550
259011_s_at	AT3G07380;AT3G60990;AT5G48190
259381_s_at	AT3G16410;AT3G16390;AT3G16400
256844_s_at	AT3G42720;AT2G06720;AT3G31955
257345_s_at	AT1G41700;AT1G36540;AT3G33066
252465_x_at	AT3G44500;AT3G30440
251351_s_at	AT3G61030;AT3G60950;AT3G61050
251211_s_at	AT3G62470;AT3G62540;AT5G14820
251204_at	AT3G63093;AT3G63095;AT3G63100
255297_x_at	AT5G35025;AT4G04820;AT2G12680
255217_s_at	AT4G07680;AT3G30465;AT2G07395
254257_s_at	AT4G23350;AT4G23360;AT4G23370
266075_s_at	AT4G38290;AT2G40710;AT4G37680
253004_at	AT4G38280;AT4G38330;AT2G45250
250862_s_at	AT2G04390;AT5G04800;AT2G05220
259990_s_at	AT5G23410;AT1G68050;AT5G42730
246812_at	AT4G07523;AT1G43205;AT5G27180
246764_s_at	AT2G27780;AT2G13640;AT5G27310
246173_s_at	AT5G28370;AT5G28460;AT3G61520
260184_s_at	AT1G35950;AT2G05084;AT5G34950
249474_s_at	AT5G39160;AT5G39190;AT5G39130
249496_s_at	AT5G39200;AT5G39140;AT5G39170
248559_at	AT5G50012;AT5G50011;AT5G50010
263510_s_at	ATMG00900;AT2G07681;AT2G07771
255997_s_at	AT1G29910;AT1G29920;AT1G29930
249157_at	AT5G43510;AT5G43518;AT5G43513
256448_s_at	AT1G33450;AT5G15690;AT4G04780
265229_s_at	ATMG00430;ATMG01150;AT2G07701
257339_s_at	ATMG00040;AT2G07671;ATMG01080
261341_s_at	AT1G52940;AT2G18130;AT3G46120
261864_s_at	AT1G50480;AT2G12280;AT2G12200
264614_s_at	AT1G02590;AT1G04580
252381_s_at	AT3G47760;AT3G47750
247537_s_at	AT5G61730;AT5G61690
260932_s_at	AT1G02530;AT1G02520
253785_s_at	AT4G28620;AT4G28630
255541_s_at	AT4G01830;AT4G01820
256308_s_at	AT1G30420;AT1G30410
251457_s_at	AT3G60970;AT3G60160
254439_s_at	AT4G20990;AT4G21000
264189_s_at	AT1G54580;AT1G54630
246172_s_at	AT3G61510;AT5G28360
267175_s_at	AT2G37620;AT3G53750
260789_s_at	AT3G06690;AT1G06290
265045_s_at	AT1G03930;AT5G44100
247217_s_at	AT5G65050;AT5G65060
246836_s_at	AT5G27960;AT5G26650
263735_s_at	AT1G60040;AT1G59810
249419_s_at	AT5G39750;AT5G39810
258977_s_at	AT3G02020;AT5G14060
260847_s_at	AT1G17290;AT1G72330
249909_s_at	AT5G22770;AT5G22780
251721_s_at	AT3G56450;AT3G56190
257162_s_at	AT3G24290;AT3G24300
247574_at	AT5G61230;AT5G61228
257641_s_at	AT3G25760;AT3G25770
267139_s_at	AT2G38195;AT2G38220
262733_s_at	AT1G28660;AT1G28670
245373_s_at	AT4G14716;AT4G14710
259447_s_at	AT1G02430;AT1G02440
255065_s_at	AT4G08870;AT4G08900
258230_s_at	AT3G27720;AT3G27710
267194_s_at	AT2G31300;AT2G30910
266043_at	ATMG00200;AT2G07724
266041_s_at	AT2G07736;ATMG00300
266039_s_at	AT2G07739;ATMG00370
265231_s_at	AT2G07713;ATMG00540
265236_s_at	ATMG00550;AT2G07714
265233_s_at	ATMG00590;AT2G07718
265235_s_at	ATMG00610;AT2G07719
244920_s_at	AT2G07751;ATMG00990
263501_s_at	AT2G07673;ATMG01030
256601_s_at	AT3G28290;AT3G28300
264354_s_at	AT1G03200;AT1G03240
264365_s_at	AT1G03220;AT1G03230
265091_s_at	AT1G03940;AT1G03495
264567_s_at	AT1G05250;AT1G05240
263229_s_at	AT1G05660;AT1G05650
262460_s_at	AT1G06030;AT1G50390
260950_s_at	AT1G06120;AT1G06090
259391_s_at	AT1G06360;AT1G06350
261079_s_at	AT1G07480;AT1G07470
261408_s_at	AT1G07660;AT1G07820
261464_at	AT1G07740;AT1G07730
262714_s_at	AT1G07950;AT1G16430
264654_s_at	AT1G08890;AT1G08900
