Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [organism part]	Characteristics[growth condition]	Characteristics[genetic modification]	Characteristics [genotype]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [time]	Unit [time unit]
GSM1375962 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	leaf	leaf explants cultured on callus-inducing medium	knock out	chr11-1, chr17-1 double mutant	8 refers to 8-DAC	chr11-1 chr17-1	8-DAC_chr11-1chr17-1_rep3	P-GSE57145-2	ArrayExpress	P-GSE57145-3	ArrayExpress	P-GSE57145-4	ArrayExpress	GSM1375962 extract 1	total RNA	P-GSE57145-5	ArrayExpress	GSM1375962 LE 1	biotin	P-GSE57145-6	ArrayExpress	GSM1375962	A-AFFY-2	ArrayExpress	array assay	P-GSE57145-7	ArrayExpress	GSM1375962_ISWI_83_ATH1-121501-chr11_17.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57145/E-GEOD-57145.raw.1.zip	P-GSE57145-1	ArrayExpress	GSM1375962_sample_table.txt norm	GSM1375962_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57145/E-GEOD-57145.processed.1.zip	chr11-1, chr17-1 double mutant	8	day
GSM1375961 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	leaf	leaf explants cultured on callus-inducing medium	knock out	chr11-1, chr17-1 double mutant	8 refers to 8-DAC	chr11-1 chr17-1	8-DAC_chr11-1chr17-1_rep2	P-GSE57145-2	ArrayExpress	P-GSE57145-3	ArrayExpress	P-GSE57145-4	ArrayExpress	GSM1375961 extract 1	total RNA	P-GSE57145-5	ArrayExpress	GSM1375961 LE 1	biotin	P-GSE57145-6	ArrayExpress	GSM1375961	A-AFFY-2	ArrayExpress	array assay	P-GSE57145-7	ArrayExpress	GSM1375961_ISWI_82_ATH1-121501-chr11_17.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57145/E-GEOD-57145.raw.1.zip	P-GSE57145-1	ArrayExpress	GSM1375961_sample_table.txt norm	GSM1375961_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57145/E-GEOD-57145.processed.1.zip	chr11-1, chr17-1 double mutant	8	day
GSM1375960 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	leaf	leaf explants cultured on callus-inducing medium	knock out	chr11-1, chr17-1 double mutant	8 refers to 8-DAC	chr11-1 chr17-1	8-DAC_chr11-1chr17-1_rep1	P-GSE57145-2	ArrayExpress	P-GSE57145-3	ArrayExpress	P-GSE57145-4	ArrayExpress	GSM1375960 extract 1	total RNA	P-GSE57145-5	ArrayExpress	GSM1375960 LE 1	biotin	P-GSE57145-6	ArrayExpress	GSM1375960	A-AFFY-2	ArrayExpress	array assay	P-GSE57145-7	ArrayExpress	GSM1375960_ISWI_81_ATH1-121501-chr11_17.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57145/E-GEOD-57145.raw.1.zip	P-GSE57145-1	ArrayExpress	GSM1375960_sample_table.txt norm	GSM1375960_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57145/E-GEOD-57145.processed.1.zip	chr11-1, chr17-1 double mutant	8	day
GSM1375959 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	leaf	leaf explants cultured on callus-inducing medium	knock out	chr11-1, chr17-1 double mutant	0 refers time-0	chr11-1 chr17-1	Time-0_chr11-1chr17-1_rep3	P-GSE57145-2	ArrayExpress	P-GSE57145-3	ArrayExpress	P-GSE57145-4	ArrayExpress	GSM1375959 extract 1	total RNA	P-GSE57145-5	ArrayExpress	GSM1375959 LE 1	biotin	P-GSE57145-6	ArrayExpress	GSM1375959	A-AFFY-2	ArrayExpress	array assay	P-GSE57145-7	ArrayExpress	GSM1375959_ISWI_03_ATH1-121501-chr11_17.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57145/E-GEOD-57145.raw.1.zip	P-GSE57145-1	ArrayExpress	GSM1375959_sample_table.txt norm	GSM1375959_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57145/E-GEOD-57145.processed.1.zip	chr11-1, chr17-1 double mutant	0	day
GSM1375958 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	leaf	leaf explants cultured on callus-inducing medium	knock out	chr11-1, chr17-1 double mutant	0 refers time-0	chr11-1 chr17-1	Time-0_chr11-1chr17-1_rep2	P-GSE57145-2	ArrayExpress	P-GSE57145-3	ArrayExpress	P-GSE57145-4	ArrayExpress	GSM1375958 extract 1	total RNA	P-GSE57145-5	ArrayExpress	GSM1375958 LE 1	biotin	P-GSE57145-6	ArrayExpress	GSM1375958	A-AFFY-2	ArrayExpress	array assay	P-GSE57145-7	ArrayExpress	GSM1375958_ISWI_02_ATH1-121501-chr11_17.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57145/E-GEOD-57145.raw.1.zip	P-GSE57145-1	ArrayExpress	GSM1375958_sample_table.txt norm	GSM1375958_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57145/E-GEOD-57145.processed.1.zip	chr11-1, chr17-1 double mutant	0	day
GSM1375957 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	leaf	leaf explants cultured on callus-inducing medium	knock out	chr11-1, chr17-1 double mutant	0 refers time-0	chr11-1 chr17-1	Time-0_chr11-1chr17-1_rep1	P-GSE57145-2	ArrayExpress	P-GSE57145-3	ArrayExpress	P-GSE57145-4	ArrayExpress	GSM1375957 extract 1	total RNA	P-GSE57145-5	ArrayExpress	GSM1375957 LE 1	biotin	P-GSE57145-6	ArrayExpress	GSM1375957	A-AFFY-2	ArrayExpress	array assay	P-GSE57145-7	ArrayExpress	GSM1375957_ISWI_01_ATH1-121501-chr11_17.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57145/E-GEOD-57145.raw.1.zip	P-GSE57145-1	ArrayExpress	GSM1375957_sample_table.txt norm	GSM1375957_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57145/E-GEOD-57145.processed.1.zip	chr11-1, chr17-1 double mutant	0	day
GSM1375956 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	leaf	leaf explants cultured on callus-inducing medium	none	wild type	8D refers to 8-DAC	Col-0	8-DAC_Col-0_rep3	P-GSE57145-2	ArrayExpress	P-GSE57145-3	ArrayExpress	P-GSE57145-4	ArrayExpress	GSM1375956 extract 1	total RNA	P-GSE57145-5	ArrayExpress	GSM1375956 LE 1	biotin	P-GSE57145-6	ArrayExpress	GSM1375956	A-AFFY-2	ArrayExpress	array assay	P-GSE57145-7	ArrayExpress	GSM1375956_8D3_ATH1-121501-Col.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57145/E-GEOD-57145.raw.1.zip	P-GSE57145-1	ArrayExpress	GSM1375956_sample_table.txt norm	GSM1375956_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57145/E-GEOD-57145.processed.1.zip	wild type	8	day
GSM1375955 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	leaf	leaf explants cultured on callus-inducing medium	none	wild type	8D refers to 8-DAC	Col-0	8-DAC_Col-0_rep2	P-GSE57145-2	ArrayExpress	P-GSE57145-3	ArrayExpress	P-GSE57145-4	ArrayExpress	GSM1375955 extract 1	total RNA	P-GSE57145-5	ArrayExpress	GSM1375955 LE 1	biotin	P-GSE57145-6	ArrayExpress	GSM1375955	A-AFFY-2	ArrayExpress	array assay	P-GSE57145-7	ArrayExpress	GSM1375955_8D2_ATH1-121501-Col.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57145/E-GEOD-57145.raw.1.zip	P-GSE57145-1	ArrayExpress	GSM1375955_sample_table.txt norm	GSM1375955_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57145/E-GEOD-57145.processed.1.zip	wild type	8	day
GSM1375954 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	leaf	leaf explants cultured on callus-inducing medium	none	wild type	8D refers to 8-DAC	Col-0	8-DAC_Col-0_rep1	P-GSE57145-2	ArrayExpress	P-GSE57145-3	ArrayExpress	P-GSE57145-4	ArrayExpress	GSM1375954 extract 1	total RNA	P-GSE57145-5	ArrayExpress	GSM1375954 LE 1	biotin	P-GSE57145-6	ArrayExpress	GSM1375954	A-AFFY-2	ArrayExpress	array assay	P-GSE57145-7	ArrayExpress	GSM1375954_8D1_ATH1-121501-Col.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57145/E-GEOD-57145.raw.1.zip	P-GSE57145-1	ArrayExpress	GSM1375954_sample_table.txt norm	GSM1375954_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57145/E-GEOD-57145.processed.1.zip	wild type	8	day
GSM1375953 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	leaf	leaf explants cultured on callus-inducing medium	none	wild type	0D refers time-0	Col-0	Time-0_Col-0_rep3	P-GSE57145-2	ArrayExpress	P-GSE57145-3	ArrayExpress	P-GSE57145-4	ArrayExpress	GSM1375953 extract 1	total RNA	P-GSE57145-5	ArrayExpress	GSM1375953 LE 1	biotin	P-GSE57145-6	ArrayExpress	GSM1375953	A-AFFY-2	ArrayExpress	array assay	P-GSE57145-7	ArrayExpress	GSM1375953_0D3_ATH1-121501-Col.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57145/E-GEOD-57145.raw.1.zip	P-GSE57145-1	ArrayExpress	GSM1375953_sample_table.txt norm	GSM1375953_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57145/E-GEOD-57145.processed.1.zip	wild type	0	day
